Голодный	['hʌŋgrɪ]	Hungry
Ужасный	['hɔrəbl]	Horrible
Враждебный; недружелюбный	['hɔstaɪl]	Hostile
Невнимательный (к другим)	[ˌɪnkən'sɪd(ə)rət]	Inconsiderate
Лживый	[ˈlaɪɪŋ / menˈdeɪʃəs]	Lying / mendacious
Умеющий ловко манипулировать людьми	[mə'nɪpjələtɪvˌ mə'nɪpjulətɪv]	Manipulative
Незрелый	[ˌɪmə'tjuə]	Immature
Унылый, угрюмый	['muːdɪ]	Moody
Слабоумный	[mə'rɔnɪk]	Moronic
Мрачный, угрюмый	[mə'rəus]	Morose
Мерзкий	['nɑːstɪ]	Nasty
Непослушный, капризный (о ребенке)	[ˈnɔːtɪ]	Naughty
Упрямый, своевольный	['ɔbstɪnɪt]	Obstinate
Пессимист	[ˈpesɪmɪst]	Pessimist
Напыщенный, надутый; полный важности	['pɔmpəs]	Pompous
Нахальный; бесцеремонный	['puʃɪ]	Pushy
Непокорный, непослушный	[rɪ'belɪəs]	Rebellious
Безумный	[ˈrekles]	Reckless
Шумный; буйный	['raudɪ]	Rowdy
Эгоцентричный	[ˌself'sentəd]	Self-centered
Самокритичный	[self-ˈkrɪtɪkəl]	Self-critical
Скупой, прижимистый, скаредный	['stɪnʤɪ]	Stingy
Безрассудный	['θɔːtləs]	Thoughtless
Неуравновешенный	[ʌn'bælən(t)st]	Unbalanced
Безрассудный	[ʌn'riːz(ə)nəbl]	Unreasonable
Мстительный	['venʤf(ə)l]	Vengeful
Злой (злобный)	['wɪkɪd]	Wicked
Никудышный	[gudfɔː 'nʌθɪŋ]	Good-for-nothing
Ограниченный, с предрассудками;	[ˌnærəu'maɪndɪd]	Narrow-minded
Педант	['ped(ə)nt]	A pedant
Неудачник	['luːzə]	A loser
Лидер	['liːdə]	A leader
Сплетник, болтун	['gɔsɪp]	A gossip
Трудяга	[hɑːd 'wɜːkə]	A hard-worker
Фантазер	['driːmə]	A dreamer
Трудоголик	[ˌwɜːkə'hɔlɪk]	A workaholic
Неисправимый врун	['krɔnɪklaɪə]	A chronic liar
ТВ-наркоман	[ˌtiː'vi 'ædɪkt]	A TV addict
Домосед, домоседка	['həumbɔdɪ]	A homebody
Игрок (человек, легко идущий на риск)	['gæmblə]	A gambler
Победитель	['wɪnə]	A winner
Храбрец	[mænɔv 'kʌrɪʤ]	A man of courage
Тупица	['blɔkhed /'mɔːrɔn]	A blockhead / moron
Книжный червь, любитель книг	['bukwɜːm]	A bookworm
Любитель истории	['hɪst(ə)rɪbʌf]	A history buff
Человек-компьютер, "цифродробилка"	['nʌmbəˌkrʌnʧə]	A number-cruncher
Модник, модница, франт	['fæʃ(ə)nˌmʌŋgə /'fæʃ(ə)nˌpleɪt /'dændɪ / fæʃə'niːstə]	A fashion-monger / a fashion plate / a dandy / fashionista
Барахольщик	[ʹpækræt]	A pack rat
Сквалыга, скопидом, скряга	['maɪzə]	A miser
Растратчик, мот	['skwɔnd(ə)rə]	A squanderer
Лежебока, сидень	['kauʧpəˌteɪtəu]	A couch potato
Ленивец, бездельник	['leɪzɪˌbəunz]	Lazybones
На все руки мастер	[ʤækəvɔːltreɪdz]	A Jack of all trades
Любитель острых ощущений	[θrɪl 'siː kə /əd'venʧ(ə)rə]	A thrill seeker / an adventurer
Чудак	['ɔdbɔːl /'wɪədəu]	An oddball / a weirdo
Ханжа, блюститель нравов	[pruːd]	A prude
Лицемер	['hɪpəkrɪt]	A hypocrite
Неисправимый врун	['krɔnɪklaɪə]	A chronic liar
Ловкий делец	[smuːð 'ɔp(ə)reɪtə]	A smooth operator
Горожанин, норовящий обмануть деревенских жителей	[͵sıtıʹslıkə]	A city slicker
Простак, простофиля	['sɪmplt(ə)n]	A simpleton
Неуспевающий ученик,	[͵ʌndərəʹtʃi:və]	An underachiever
Крутой, крепкий парень	[tʌfgaɪ]	A tough guy
Бесхарактерный человек, тряпка	[ʹsɒftı]	A softy
Волокита, распутник, бабник	['wumən'ʧeɪsə /'wumənaɪzə]	A woman-chaser / a womanizer
Сердцеед	['leɪdɪˌkɪlə]	A lady-killer
Отщепенец, негодяй	[͵blækʹʃi:p]	A black sheep
Козел отпущения	['skeɪpgəut]	A scapegoat
Смешно одетый человек, пугало	['skeəkrəu / 'bʌgəbuː]	A scarecrow / bugaboo
Белая ворона	[(h)waɪtkrəu]	A white crow
Большая шишка	[bɪgʃɔt]	A big shot
Тупица	['blɔkhed /'mɔːrɔn]	A blockhead / moron
Зануда	[bɔː]	A bore
Умница	[klɪəhed]	A clear head
Подлиза, лизоблюд	['təudɪ]	A toady
Хозяин своего слова	[mænɔvhɪzwɜːd]	A man of his word
Скряга	['nɪgəd]	A niggard
Паникер	['pænɪkˌmʌŋgə /ə'lɑːmɪst]	A panic-monger/ alarmist
Паникер	[skeə]	A scare-monger
Транжира	['spendə]	A spender
Домосед	[steɪæthəum]	A stay-at-home
Абсолютный ноль	[ˌæbs(ə)'l(j)uːt 'nʌθɪŋ]	An absolute nothing
Мастер своего дела	['ekspɜːtæt<one's>ʤɔb]	An expert at one's job
Лентяй	['aɪdlə]	An idler
